what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1467820980312
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1467820982002
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1467820986922
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1467820996285
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467821001972
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467821002035
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467821002063
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467821006557
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1467821006566
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1467821015316
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1467821023116
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467821025416
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467821025503
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467821026059
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467821026513
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1467821027688
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1467821037511
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467821044601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467821059305
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1467821074643
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1467821080185
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1467821081245
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1467821083915
started,bundle,com.altera.debug.cdi.gdb.plugin,13.0.0.156,"com.altera.debug.cdi.gdb.plugin",1467821084814
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467821088782
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467821096036
started,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1467821096412
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1467821096528
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1467821096797
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467821104455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467821104542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467821110682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467821110739
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467821110765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467821112170
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1467821112176
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1467821114207
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1467821115656
